user_id_field,instruction_group,form_submission_time,feedback_type,session_id,submission_time,trial_number,env_id,free_form_description,user_demonstrated_trajectory,chosen_trajectory_identifier,chosen_trajectory,unchosen_trajectory,off_initial_trajectory,off_interrupted_trajectory,uncorrected_trajectory,corrected_trajectory,policy_type_served,manipulation_check_errors,manipulation_check_responses
dl2UQ5HSlJ,group_a1b2,2025-09-29 19:05:45,demonstration_pre,xPFkKh_e4FusUHB_2YTizfWucCeVE2aT28Q918uqoOA,2025-09-29 19:16:00,3,gen_map_7,,"[[0, 0], [1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [1, 4], [1, 5], [0, 5], [0, 6], [0, 7], [1, 7], [2, 7], [2, 8], [2, 9], [2, 10], [1, 10], [1, 11], [0, 11]]",,,,,,,,,,
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,free_form_description,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:04:11,1,ffq_comparison,"{""stable_rating"": 1, ""slippery_rating"": 5}",,,,,,,,,,,
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,manipulation_check_pre,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:06:17,1,,,,,,,,,,,,"{""execution_q"": 0, ""slippery_outcome_q"": 0, ""slippery_outcome_q_2"": 0, ""what_is_task_q"": 0}","{""execution_q"": ""5"", ""slippery_outcome_q_2"": ""2"", ""slippery_outcome_q"": ""5"", ""what_is_task_q"": ""1""}"
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,demonstration_pre,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:09:24,1,gen_map_24,,"[[0, 11], [1, 11], [2, 11], [2, 10], [2, 9], [2, 8], [2, 7], [3, 7], [3, 6], [4, 6], [4, 5], [4, 4], [3, 4], [2, 4], [2, 3], [2, 2], [2, 1], [1, 1], [0, 1], [0, 0]]",,,,,,,,,,
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,demonstration_pre,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:09:45,2,gen_map_100,,"[[0, 0], [0, 1], [0, 2], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6], [3, 7], [2, 7], [2, 8], [1, 8], [1, 9], [1, 10], [1, 11], [0, 11]]",,,,,,,,,,
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,demonstration_pre,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:10:37,3,gen_map_118,,"[[0, 0], [0, 1], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [3, 4], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [1, 8], [0, 8], [0, 9], [0, 10], [0, 11]]",,,,,,,,,,
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,demonstration_pre,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:11:44,4,gen_map_48,,"[[5, 11], [5, 10], [5, 9], [5, 8], [5, 7], [5, 6], [5, 5], [4, 5], [4, 4], [4, 3], [4, 2], [4, 1], [4, 0], [5, 0]]",,,,,,,,,,
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,demonstration_pre,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:12:11,5,gen_map_86,,"[[0, 11], [0, 10], [0, 9], [1, 9], [1, 8], [1, 7], [1, 6], [1, 5], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [5, 3], [5, 2], [5, 1], [4, 1], [3, 1], [3, 0], [2, 0], [1, 0], [0, 0]]",,,,,,,,,,
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,manipulation_check,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:14:15,1,,,,,,,,,,,,"{""slippery_outcome_q"": 0, ""slippery_outcome_q_2"": 0}","{""slippery_outcome_q"": ""1"", ""slippery_outcome_q_2"": ""1""}"
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,off_intervention,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:17:15,1,gen_map_1,,,,,,"[[0, 11], [1, 11], [2, 11], [2, 10], [2, 9], [2, 8], [1, 8], [0, 8], [0, 7], [0, 6], [1, 6], [1, 5], [1, 4], [1, 3], [0, 3], [0, 2], [0, 1], [0, 0]]","{""trajectory"": [[0, 11], [1, 11], [2, 11], [2, 10], [2, 9], [2, 8], [1, 8], [1, 7], [1, 6], [1, 5], [1, 4], [1, 3], [0, 3], [0, 2], [0, 1], [0, 0]], ""obstacles"": [[0, 7]]}",,,non_slippery,,
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,off_intervention,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:18:02,2,gen_map_117,,,,,,"[[0, 11], [0, 10], [0, 9], [1, 9], [2, 9], [3, 9], [3, 8], [3, 7], [3, 6], [3, 5], [3, 4], [3, 3], [4, 3], [5, 3], [5, 2], [5, 1], [5, 0], [4, 0], [3, 0], [2, 0], [1, 0], [0, 0]]","{""trajectory"": [[0, 11], [0, 10], [0, 9], [1, 9], [2, 9], [3, 9], [3, 8], [3, 7], [3, 6], [3, 5], [3, 4], [3, 3], [2, 3], [2, 2], [1, 2], [0, 2], [0, 1], [0, 0]], ""obstacles"": [[4, 3]]}",,,slippery,,
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,off_intervention,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:18:19,3,gen_map_52,,,,,,"[[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [4, 8], [3, 8], [3, 9], [3, 10], [3, 11], [2, 11], [1, 11], [0, 11]]","{""trajectory"": [[0, 0], [1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [1, 3], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11]], ""obstacles"": [[3, 0]]}",,,slippery,,
Ve8ofibFtE,group_a1b2,2025-09-05 03:01:03,off_intervention,VkllLKnDR5InoJRB1CQYfeZ-mLxxl7dqjTqDvyNlbHM,2025-09-05 03:18:55,4,gen_map_58,,,,,,"[[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [5, 1], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [4, 8], [4, 9], [4, 10], [4, 11], [3, 11], [2, 11], [1, 11], [0, 11]]","{""trajectory"": [[0, 0], [1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [1, 4], [0, 4], [0, 5], [0, 6], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [0, 11]], ""obstacles"": [[3, 0], [3, 1]]}",,,slippery,,
